grid_id,day_lst,night_lst,day_night_gap,centroid_lon,centroid_lat,dist_to_coast,elevation_mean,water_ratio,dist_to_major_river,avg_height,road_length,bldg_coverage_ratio,svf_mean,height_variance,ndvi,file_name,OID_,Shape_Leng,Shape_Area,MESH_KEYS,geometry_wkt
40,35.142614,23.536157,11.606457000000002,139.80602288277794,35.539208031270384,182.6130653,6.794757437,0.0,1837.811315,,0.0,0.0,1.0,,0.059229196,bldg_40.shp,0,800.0,40000.0,53392644,"POLYGON ((139.804933 35.538296, 139.804907 35.540099, 139.807112 35.54012, 139.807139 35.538317, 139.804933 35.538296))"
41,33.132522,23.041481,10.091041,139.81925791520044,35.53933835566138,199.61579,14.37549406,0.0,2669.665686,,0.0,0.0,1.0,,0.309996644,bldg_41.shp,0,800.0,40000.0,53392645,"POLYGON ((139.818168 35.538426, 139.818142 35.540229, 139.820348 35.540251, 139.820374 35.538448, 139.818168 35.538426))"
42,31.900918,21.05661,10.844308000000002,139.70232244975665,35.539939786179154,5100.735542,1.783996802,0.0,247.9895423,,0.0,0.0,0.99851473,,0.277963309,bldg_42.shp,0,800.0,40000.0,"53392546,53392556","POLYGON ((139.701234 35.539026, 139.701205 35.540829, 139.703411 35.540853, 139.70344 35.53905, 139.701234 35.539026))"
43,32.953287,21.426591,11.526696000000005,139.70452821564578,35.539963504882195,5039.755588,2.209036942,0.0,362.7447946,12.04,633.7247107,0.016954175,0.991628188,59.743,0.249415836,bldg_43.shp,0,800.0,40000.0,"53392546,53392556","POLYGON ((139.70344 35.53905, 139.703411 35.540853, 139.705617 35.540877, 139.705646 35.539074, 139.70344 35.53905))"
44,34.280637,21.680787,12.59985,139.70673398410975,35.539987183254766,4875.17665,2.744207928,0.0,398.9539148,8.588888889,1076.145097,0.150622633,0.973670473,13.58009988,0.160840085,bldg_44.shp,0,800.0,40000.0,"53392546,53392556","POLYGON ((139.705646 35.539074, 139.705617 35.540877, 139.707822 35.5409, 139.707851 35.539098, 139.705646 35.539074))"
45,34.774608,21.580649,13.193959,139.70893975514417,35.54001082129673,4711.61243,2.915730568,0.0,392.437315,9.144444444,1174.654504,0.110290204,0.967449442,19.3018638,0.112246285,bldg_45.shp,0,800.0,40000.0,"53392546,53392556","POLYGON ((139.707851 35.539098, 139.707822 35.5409, 139.710028 35.540924, 139.710057 35.539121, 139.707851 35.539098))"
46,33.69768,21.34659,12.35109,139.71114552874468,35.54003441900794,4549.412881,2.405077258,0.0,379.0232182,9.561363636,706.011189,0.132501169,0.968340921,66.82382135,0.231636603,bldg_46.shp,0,800.0,40000.0,"53392546,53392547,53392556,53392557","POLYGON ((139.710057 35.539121, 139.710028 35.540924, 139.712234 35.540948, 139.712263 35.539145, 139.710057 35.539121))"
47,31.223045,21.354775,9.868269999999999,139.7133513049069,35.54005797638824,4387.265033,1.853538377,0.0,337.0053233,17.5,382.91217,0.028910854,0.963118668,226.5866667,0.339236683,bldg_47.shp,0,800.0,40000.0,"53392546,53392547,53392556,53392557","POLYGON ((139.712263 35.539145, 139.712234 35.540948, 139.71444 35.540971, 139.714469 35.539168, 139.712263 35.539145))"
48,29.680801,21.644379,8.036421999999998,139.71555708362646,35.54008149343746,4221.700975,1.06839143,0.0,247.4216089,,15.94400348,0.0,0.994063093,,0.315545003,bldg_48.shp,0,800.0,40000.0,"53392547,53392557","POLYGON ((139.714469 35.539168, 139.71444 35.540971, 139.716646 35.540995, 139.716674 35.539192, 139.714469 35.539168))"
49,28.534564,21.975811,6.558752999999999,139.71776286489893,35.540104970155475,4059.239309,0.472307692,0.14983575,155.9575796,,0.0,0.0,0.998439768,,0.196366181,bldg_49.shp,0,800.0,40000.0,"53392547,53392557","POLYGON ((139.716674 35.539192, 139.716646 35.540995, 139.718851 35.541018, 139.71888 35.539215, 139.716674 35.539192))"
